"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1002","creates a board with only the required name","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1015","returns at least the documented default fields","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","3986","GET /boards/{id} stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","58","rejects a request with no idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","71","rejects an unknown idList","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","95","rejects a request with no idList","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1298","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1385","renames a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}","functional/lists.spec.ts","",""
"","1409","archives and then restores a list","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}/closed","functional/lists.spec.ts","",""
"","1331","archives a list via the closed field","functional","2026-08-31","passed","2026-08-31","Lists endpoint > PUT /lists/{id}","functional/lists.spec.ts","",""
"","1175","is not supported by the Trello API","functional","2026-08-31","passed","2026-08-31","Lists endpoint > DELETE /lists/{id}","functional/lists.spec.ts","",""
"","1129","creates a list on the given board","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","63","returns 404 when deleting an unknown board","functional","2026-08-31","passed","2026-08-31","Boards endpoint > DELETE /boards/{id}","functional/boards.spec.ts","",""
"","1777","excludes archived lists when filtering by open","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /boards/{id}/lists","functional/lists.spec.ts","",""
"","1141","returns additional fields when fields=all is requested","functional","2026-08-31","passed","2026-08-31","Lists endpoint > GET /lists/{id}","functional/lists.spec.ts","",""
"","1224","deletes a board and makes it unreachable","functional","2026-08-31","passed","2026-08-31","Boards endpoint > DELETE /boards/{id}","functional/boards.spec.ts","",""
"","48","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1232","creates a card with idList as the only required parameter","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","96","rejects a request carrying an invalid key","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","1062","honours the optional description and defaultLists flag","functional","2026-08-31","passed","2026-08-31","Boards endpoint > POST /boards","functional/boards.spec.ts","",""
"","1422","creates a card with name, description and due date","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","1158","places a list at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","2810","GET /members/me stays within the 1000ms read budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","110","returns the authenticated member for valid credentials","functional","2026-08-31","passed","2026-08-31","API connectivity and authentication","functional/connectivity.spec.ts","",""
"","1665","places a card at the top when pos is top","functional","2026-08-31","passed","2026-08-31","Cards endpoint > POST /cards","functional/cards.spec.ts","",""
"","120","rejects a malformed id","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","89","returns 404 for an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > GET /cards/{id}","functional/cards.spec.ts","",""
"","2556","creates a board, list and card, updates the card, then removes everything","e2e","2026-08-31","passed","2026-08-31","Trello end-to-end workflow","e2e/workflow.spec.ts","",""
"","93","returns 404 for a well-formed but unknown id","functional","2026-08-31","passed","2026-08-31","Boards endpoint > GET /boards/{id}","functional/boards.spec.ts","",""
"","5097","PUT /cards/{id} stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","64","returns 404 when deleting an unknown card","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
"","1382","returns the card that was created","functional","2026-08-31","passed","2026-08-31","Cards endpoint > GET /cards/{id}","functional/cards.spec.ts","",""
"","87","returns 404 when updating an unknown board","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","7379","POST /cards stays within the 1500ms write budget","performance","2026-08-31","passed","2026-08-31","Endpoint response-time SLAs","performance/latency.spec.ts","",""
"","68","rejects an unknown idBoard","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
"","1170","archives the board when closed is set","functional","2026-08-31","passed","2026-08-31","Boards endpoint > PUT /boards/{id}","functional/boards.spec.ts","",""
"","2101","deletes a card and makes it unreachable","functional","2026-08-31","passed","2026-08-31","Cards endpoint > DELETE /cards/{id}","functional/cards.spec.ts","",""
"","1646","marks a card as complete","functional","2026-08-31","passed","2026-08-31","Cards endpoint > PUT /cards/{id}","functional/cards.spec.ts","",""
"","939","rejects an unauthenticated request","functional","2026-08-31","passed","2026-08-31","Lists endpoint > POST /lists","functional/lists.spec.ts","",""
